,0,1,2,3,4,5
1981-01-05,-0.15479389098808521,-0.2475189875571292,-0.1546327647513392,-0.12550711361195344,-0.07637880669810246,0.021647785522091654
1981-01-08,-0.15478998195291727,-0.2475140268806921,-0.15462719537351688,-0.1254998631088261,-0.0763778832030785,0.02165758248624516
1981-01-12,-0.15478668079849137,-0.24750953339648193,-0.15462597944258732,-0.1254905626392437,-0.07637918662179088,0.021664622357126136
1981-01-15,-0.1547847320965546,-0.24750430282963473,-0.15462785294895537,-0.12548280764461575,-0.07638040862104284,0.021667567566105318
1981-01-19,-0.1547825696342178,-0.2474988749175189,-0.1546262604567776,-0.12547612025651703,-0.07638261012380473,0.021671266185982578
1981-01-22,-0.1547819690849754,-0.24749740286833194,-0.15462614237797848,-0.12547408215115,-0.07639228070534641,0.021674082111542484
1981-01-26,-0.15478149366589267,-0.24749447389319465,-0.15462857924275458,-0.1254696590538803,-0.07640714825163661,0.02167782046464545
1981-01-29,-0.15478139775580732,-0.24749441140667483,-0.15462911352783135,-0.1254663999729713,-0.07641539974876253,0.02167793920346352
1981-02-02,-0.15478142144255885,-0.24749523903465218,-0.1546283845669484,-0.125458637761431,-0.07641842722274796,0.021672540042741325
1981-02-05,-0.15478152330956138,-0.2474939903304173,-0.15462695601742163,-0.12545126550608332,-0.07641673417726945,0.021666466943431436
1981-02-09,-0.15478142471379316,-0.24749405127365603,-0.15462719347292952,-0.12544993665009593,-0.07640120370966065,0.02165622590646002
1981-02-12,-0.1547826067905608,-0.24749641280527102,-0.15462894746623504,-0.1254530099447265,-0.07638150637158472,0.02164895013718831
1981-02-16,-0.15478685165256312,-0.24750043009745548,-0.15463368723295223,-0.12545844780925744,-0.07636911452882394,0.021642880590849203
1981-02-19,-0.15479002554111232,-0.24750286863661466,-0.1546368725578517,-0.12546210024093338,-0.07636475606589013,0.02163697343477638
1981-02-23,-0.1547923552640943,-0.24750646505644872,-0.1546396763663681,-0.12546785843603503,-0.07636742558927792,0.021632150442100595
1981-02-26,-0.1547924370721211,-0.24750720898211956,-0.15464006203068842,-0.12547050076359426,-0.07637930007734463,0.0216329270618409
1981-03-02,-0.1547921777371822,-0.2475066550471551,-0.15463898911873028,-0.1254679001086035,-0.07638621844232368,0.021630324223121687
1981-03-05,-0.15479106651702582,-0.24750825423906847,-0.15463912577941477,-0.12546680817704572,-0.07638563049437518,0.021627783900135172
1981-03-09,-0.15478928023400204,-0.24751200051645575,-0.15464029925386216,-0.12546848349714643,-0.07640221627418839,0.02163207247087352
1981-03-12,-0.1547886183966474,-0.2475131907387249,-0.15464089719651836,-0.12546721618282883,-0.07642019046028463,0.021637144466034455
1981-03-16,-0.15478872671393162,-0.24751286472557021,-0.15464237207508133,-0.1254638879262594,-0.07643609800199698,0.02163823908319723
1981-03-19,-0.15478925773615607,-0.2475118919223757,-0.1546416367265143,-0.12546215937508856,-0.07643613308079353,0.021636656417345555
1981-03-23,-0.15478743087360478,-0.2475072785324594,-0.1546354696829567,-0.1254583038272729,-0.07642768403352296,0.02164142216988322
1981-03-26,-0.15478559212100237,-0.24750370349197762,-0.15463060666771222,-0.12545496413237642,-0.07642763242509268,0.02164846156097985
1981-03-30,-0.15478462036445345,-0.24750142480398216,-0.1546278106229252,-0.12545123725873944,-0.07643079825141083,0.021651231793053987
1981-04-02,-0.15478453835206865,-0.24750210263561015,-0.15462985789740094,-0.12545253340313348,-0.07643793698260408,0.021647667493478163
1981-04-06,-0.154784708800352,-0.24750099862574795,-0.15463741947740028,-0.12545426504043278,-0.07645604855266007,0.021636715908321752
1981-04-09,-0.15478625857661207,-0.24750021611607917,-0.15464557821185843,-0.12545740294556496,-0.07645353620825572,0.021620907368219124
1981-04-13,-0.15478991320928107,-0.2475016402375619,-0.15465241339045643,-0.12546760225226689,-0.07643836963934679,0.02160803049025662
1981-04-16,-0.15479039107703077,-0.24749958647490183,-0.1546504538540473,-0.12547013143337868,-0.0764386478780327,0.0216121657856724
1981-04-20,-0.15478873474931004,-0.24749570762747936,-0.15464571023108994,-0.1254740435221638,-0.07644922015529869,0.021625945551252176
1981-04-23,-0.1547884388810317,-0.24749420464399674,-0.15464558229839084,-0.12547985541620824,-0.07646869833602601,0.021636180224699632
1981-04-27,-0.15478872560440507,-0.24749013024514302,-0.15464548147369367,-0.1254756268954484,-0.07649317218207197,0.021637235459955915
1981-04-30,-0.1547893533798619,-0.24748618495757238,-0.1546444863511309,-0.12545838518139174,-0.07649171381589345,0.021625359633133136
1981-05-04,-0.15479124059728894,-0.24748705135417648,-0.1546499924449706,-0.12544657337358558,-0.07648933721170677,0.021606425537827618
1981-05-07,-0.15479222890068184,-0.2474921786467813,-0.1546559927941678,-0.12545577183263565,-0.07649810366101623,0.02160433889766289
1981-05-11,-0.15479389006784433,-0.24750350487202094,-0.15466575815229483,-0.12547819987822756,-0.07650666958877078,0.02161509510514527
1981-05-14,-0.15479608513970985,-0.24751515137396243,-0.15467448729694405,-0.1254960201164533,-0.07650603807540443,0.02162430755248669
1981-05-18,-0.15479921819749307,-0.24752984133127479,-0.1546807299490119,-0.12549970444847122,-0.07650589713997465,0.021625199795803345
1981-05-21,-0.15480070946928495,-0.2475380156808532,-0.1546844319055711,-0.12549760629857956,-0.07651314354899297,0.021628752196933276
1981-05-25,-0.1548022529157592,-0.24755081732528988,-0.15468734184894048,-0.12550728129203606,-0.07650458247526268,0.021642652350111334
1981-05-28,-0.1548042327864552,-0.24755976569863983,-0.1546849656669357,-0.12551308260562022,-0.07648700097430568,0.021642569407894944
1981-06-01,-0.1548061983898877,-0.2475602463395983,-0.15468070755279417,-0.1255149973174921,-0.07647589313314165,0.02163227698635251
1981-06-04,-0.15480636543044118,-0.24755442547279502,-0.15467939504304395,-0.12551624461168498,-0.07647218297646083,0.021609532893554467
1981-06-08,-0.15480498267594764,-0.24754469863178186,-0.1546681763095222,-0.1255157217208586,-0.07646524704376745,0.02155627041530477
1981-06-11,-0.15480168211849712,-0.24752140072109888,-0.1546412486319041,-0.12550295475347045,-0.07644456854959336,0.02151545375941455
1981-06-15,-0.15477095246032613,-0.2472672751365505,-0.15436213885805322,-0.1251014659977868,-0.07597599472089318,0.02131946957404366
1981-06-18,-0.15474792759489536,-0.24710969402590205,-0.15441529984918853,-0.12499787462540835,-0.0758956095082118,0.021318505296711896
1981-06-22,-0.15473698733133684,-0.24710495958458784,-0.154488100484678,-0.12500095428188432,-0.07608045859224508,0.021200848785636252
1981-06-25,-0.15468618022139724,-0.2466380855033056,-0.15372197980536484,-0.12408483065119484,-0.07475806327041618,0.020462814172109895
1981-06-29,-0.1538006133976804,-0.23803922702093067,-0.14416182876397376,-0.10468731399562761,-0.06419145070936555,0.01076642168295335
1981-07-02,-0.15218778164021446,-0.2259518421793632,-0.13121017403202087,-0.06680268863711841,-0.049957720581225024,-0.0056060371167642835
1981-07-06,-0.14929027802278746,-0.21044642726381504,-0.11206384465924882,-0.021637112332990874,-0.1383671517078541,0.007884588198163149
