,0,1,2,3,4,5,6,7,8,9,10,11
1981-01-05,-0.8841484433964728,0.38247610811332317,-0.2961024041438263,0.05924441253886889,-0.40928265741477043,0.23125231743085317,-0.7850093099111958,-0.1341907033665301,-1.2379808463748287,-0.32447485085474354,0.30009554503663893,0.7991210529066842
1981-01-08,-0.881252542356953,0.3771846849151493,-0.2922044464755418,-0.023008852589021103,-0.3003794028431499,0.1689472327575894,-0.8472453938748628,-0.2557730186719274,-1.1420978398361206,-0.18749403738474907,0.16315452902301647,0.837742341306092
1981-01-12,-0.8494232779116573,0.357524413568737,-0.26222188161125426,-0.08271117452961854,-0.199321541781434,0.052302685959875216,-0.8829272420756328,-0.33510294305928473,-1.1167959885035563,-0.036276466873308384,0.04368246345456235,0.818072845309992
1981-01-15,-0.8100170466944597,0.33769945875714724,-0.25229169428857423,-0.09739973957203042,-0.13762809122399483,-0.03907015493933914,-0.8344444911991586,-0.326421883464123,-1.1555044822952474,0.010223058552659776,0.04206589918052368,0.7607403452057068
1981-01-19,-0.7979167494968757,0.3334687630398704,-0.2434156688183345,-0.14507366448200482,-0.05599481352180368,-0.2721513299968319,-0.8013464562666098,-0.2745540111643896,-1.1830722689097957,-0.03361506690214442,0.025802308408723957,0.7502368825462858
1981-01-22,-0.8349979357214006,0.35598923243299907,-0.2521145189145911,-0.15485222951821698,-0.054381142724731255,-0.4341338148154402,-0.796636150678065,-0.2978139376288561,-1.1647775537866312,-0.004981931853906014,-0.012875736444670239,0.7075987658947649
1981-01-26,-0.8996666076730392,0.4009177301096614,-0.29514178310818334,-0.15081191740796537,-0.10228086858140341,-0.4692184682268102,-0.676569564338706,-0.3633017365428823,-1.1413284628534033,0.006284020895725184,0.12431962873283589,0.6743752690507061
1981-01-29,-0.9339159464524492,0.434583425960236,-0.3116387133753026,-0.15872251072183421,-0.12878695083086916,-0.42641582593222127,-0.5271393246571421,-0.46761746208312144,-1.1351664178051175,0.01867488350597249,0.24788840977531199,0.7387896464394742
1981-02-02,-0.925562202384117,0.44693020617542956,-0.32854391692612156,-0.22200799884107686,-0.23398961995284848,-0.35151066517952084,-0.4156123833460116,-0.5475944754032226,-1.1262796613654977,0.08262230591235421,0.24342075719293954,0.9014843778251685
1981-02-05,-0.9099653370491696,0.44187731018823495,-0.35192041992889284,-0.27789880824801483,-0.38980742644657385,-0.2408273377612971,-0.33386477181119567,-0.5675964501315373,-1.1290178613188309,0.1114200293795229,0.28601334966103953,0.9807702443728435
1981-02-09,-0.9028267430419064,0.44366651582836614,-0.31820586880105006,-0.2676587821814882,-0.4525787726208809,-0.13716605262804513,-0.1724285640668287,-0.4970709675502494,-1.0873478054287116,0.05529713030679016,0.40866326082950033,1.0023340352284857
1981-02-12,-0.8776868171397267,0.43162426696948186,-0.24952379707922503,-0.2707413936132445,-0.36684915011414443,-0.19490870075920558,-0.15613712058794216,-0.23028975799704277,-0.9987151027742374,-0.11355990575051057,0.36504363476643836,0.954022741548969
1981-02-16,-0.8366845891349332,0.4027867096831839,-0.1523520695006561,-0.2845552481277877,-0.22106285366745776,-0.3830642723504681,-0.2939995556390891,0.08615857803278715,-0.9130704342329586,-0.333142578433099,0.15756055671949176,0.7094193998940682
1981-02-19,-0.837332677759759,0.40136213899764234,-0.0876256591047472,-0.21372765803144003,-0.06670152130302674,-0.525953493668214,-0.43042184771291103,0.15016245490102736,-0.9065709643542027,-0.3693448177580665,0.015585661803311815,0.50063700184446
1981-02-23,-0.8402478738379452,0.39512678743482066,-0.03910341505264568,-0.056180205654081106,0.10790816903924469,-0.6264544428312204,-0.532092211721976,0.16220175585563562,-0.8682612615723053,-0.35020657005311745,-0.06738617474290796,0.39413163113151317
1981-02-26,-0.8135132120878948,0.36737263649794255,-0.03133755294843415,0.051646314259620296,0.20789812243736602,-0.6281249752784211,-0.5168360728389801,0.07156228789289401,-0.8455895109372437,-0.34958384148101773,0.02241293230924429,0.44471982712788094
1981-03-02,-0.7796609156912541,0.35825010502740023,-0.00471154783244432,0.10888922515612719,0.3724257914505756,-0.6284552704160331,-0.4188915460778535,-0.11452627087865423,-0.8771492849401729,-0.2834274400385187,0.26087750615486627,0.4858329841894095
