,0,1,2,3,4,5,6,7,8,9,10,11
1981-01-05,2.8736293172849248,-0.00841980591758566,-0.0782196154558202,1.0299536485852565,-1.997907434791031,-0.11407811804031062,-0.32550179726441,-0.14254073219882238,0.7087897250529744,-0.38458613565846683,0.27476807315719326,0.32361017371947226
1981-01-08,2.881182947073652,-0.010937462282483162,-0.0778859635817853,0.9358755256664167,-2.1982085333903725,-0.019556243858041583,-0.4212307430189883,-0.28278275450497103,0.6914446167437497,-0.5055656376145959,0.3686594751405398,0.26455953004420574
1981-01-12,2.8826701095644447,0.08510856084536875,-0.1731892366036466,1.0165602318675946,-2.3114685920836644,0.0762202424501906,-0.4835728685142465,-0.26996171052961854,0.7191583686181569,-0.4785469880863941,0.6240504583272745,0.2566541178908376
1981-01-15,2.8814960716842384,0.07551338389649086,-0.17271121608449794,1.1186207684470542,-2.2944746424198503,0.09023525143646244,-0.7819772299363232,-0.2209489444130935,0.632102442451544,-0.3213956413129087,0.6655019763201984,0.17844372334967865
1981-01-19,2.8771278280483323,-0.017519370769539862,-0.10058542094208091,1.2903059432138198,-2.208337018676433,0.003863325751626213,-1.5448283079876037,-0.2617701443194117,0.3574099895636841,-0.007790378585684553,0.4968995628594058,0.0039215472175516495
1981-01-22,2.8722250751515217,0.00043956706616327487,-0.12425218400804536,1.5063057390964147,-2.166432055974498,-0.11793724793189976,-2.029723029514719,-0.4147595425539113,0.16286132615460508,0.24668108480967096,0.465117190408944,0.05362024712640644
1981-01-26,2.8720833786759687,0.09598696867827822,-0.23188110859544503,1.6514792751016156,-2.2929288161518198,-0.11883722676669639,-2.26467831290155,-0.7732036373165292,-0.06679290406696674,0.6493286826500596,0.5839818849107072,0.4090876869050134
1981-01-29,2.8783940137053095,0.2097568310849623,-0.3567884056483485,1.6145197272914602,-2.4643719354912865,0.0420276375800972,-2.016265504608955,-1.0024855883566013,-0.2141882866468969,0.9264717115717916,0.7353564463776324,0.5547411014116935
1981-02-02,2.887311930273364,0.4085770262980368,-0.5545522160957621,1.6202069511565846,-2.567346160310818,0.36887170540432496,-1.3538423185853716,-1.0341780790134336,-0.3440659001312821,1.049817981967515,0.8673925969881171,0.273192279093099
1981-02-05,2.8938519517860226,0.504787319278048,-0.6477129069746012,1.7453959694714636,-2.537401623437583,0.6452889701137579,-0.8638173383207012,-0.911797003840688,-0.46146828921346345,0.8893006275122575,0.8440417098707642,-0.029888185683126806
1981-02-09,2.902624161872759,0.5429108960920715,-0.6856955896761199,1.8501393979561152,-2.469600038663758,0.742026237120182,-0.37452434648277133,-0.6068930113897751,-0.6713178390473694,0.5261093775135518,0.6839217839475393,-0.21334026797595002
1981-02-12,2.9052550873419354,0.5486807236934387,-0.6896146216827053,1.7543792785059749,-2.414343365028107,0.545052496673119,-0.2624486116061501,-0.31503595615078644,-0.7809415320368696,0.4283233356076822,0.5073540711972108,-0.2471814244659127
1981-02-16,2.8987849289050036,0.5488418161845756,-0.6807493464653561,1.562843904869872,-2.2734057412405195,0.18479403004430142,-0.6461155033380475,-0.0519108518832366,-0.8103981698485184,0.7351494111945076,0.18327551927455743,-0.45105676215370305
1981-02-19,2.8897553468068256,0.5765045437096934,-0.6857571940279731,1.5027734970384337,-2.193947429429714,-0.06993662692082278,-1.1598474681332498,-0.1218473475868318,-0.734454953005063,1.118757467867328,-0.04873417027812993,-0.7723313510833899
1981-02-23,2.874785518438826,0.6712880798587856,-0.7417542589041478,1.4233209481679407,-2.1517218836185887,-0.3278005412631601,-1.864876838991202,-0.36868948388752204,-0.6792173660262039,1.407618022313524,-0.24639799085409494,-1.180144247228125
1981-02-26,2.874144045763506,0.7480262692438674,-0.8116680832296312,1.2559792543690602,-2.1052376354852274,-0.4404891151285607,-2.4050866591438727,-0.36474802428705067,-0.7790902990727858,1.46467912708003,-0.3777569747671529,-1.3620225593479107
1981-03-02,2.8765475907134506,0.6788266128100895,-0.7629987518508778,1.0826618922368492,-1.9590139934623088,-0.5308907413004249,-3.037439099871336,-0.15793717946371236,-0.7268596622579246,1.422205604477373,-0.5477851568385251,-1.4991175922127717
1981-03-05,2.870634439955637,0.5014801283707356,-0.6144697136715175,1.0316400590670098,-1.8439842302268559,-0.5904329496481532,-3.2564969298203343,-0.0957603793059143,-0.5017761362359112,1.3134063470523696,-0.6503631133399841,-1.5501855334264207
1981-03-09,2.873392387160641,0.24233143346015135,-0.4004206996982787,0.9763994613503584,-1.7398960351903616,-0.6735693191412143,-3.075026096899179,-0.19510566206055152,-0.27807273192787185,1.1700591453694043,-0.8069054239751957,-1.608434671806322
1981-03-12,2.8893985755016773,0.0025828721832191178,-0.18265834063255781,0.9318489460291247,-1.6389645383699454,-0.6969724578306813,-2.612621988999441,-0.21366515962528557,-0.24286044186941602,1.0738686115899414,-0.8709512687928584,-1.680707148227365
1981-03-16,2.9025064463796295,-0.28344121487850354,0.1029530295961807,1.0358436020404027,-1.6080245009523468,-0.4909303225160852,-2.0904576745760393,-0.13878021942702343,-0.06831219646954251,0.8400347582357935,-0.7405834657044197,-1.681701901490599
1981-03-19,2.8902650538359063,-0.34083674765419486,0.1678867101267221,1.2321799288360782,-1.6731045196141727,-0.21280620955510898,-2.0650344869924466,-0.06873218630278606,0.06425342876112614,0.6809270254704218,-0.6191968804916556,-1.5011017861013682
1981-03-23,2.860337014716202,-0.10408142786885469,-0.06973080011657112,1.430926563037416,-1.6567885967945355,-0.00672632376138163,-2.290158640360124,0.05290041676226868,-0.34088243138481694,0.8823951340904511,-0.646154071239137,-1.027860887885084
