,0,1,2,3,4,5
1981-01-05,-0.11858640121771112,0.003909686168647277,-0.03792732027323848,-0.03268337252528726,-0.03883726179599859,-0.452584766775305
1981-01-08,-0.11865329058282956,0.003936460258609342,-0.03809692044273716,-0.032071245230462814,-0.03878539098602347,-0.4535383247179496
1981-01-12,-0.11876507966157669,0.004111035790893675,-0.03701315492408794,-0.029326344422759686,-0.03887027674035872,-0.44947897015953986
1981-01-15,-0.11885045163375223,0.004154338524842564,-0.03657336584414219,-0.02885281341877183,-0.03913264880590301,-0.4501299327827196
1981-01-19,-0.11886126284504696,0.004353958908026435,-0.03689867449915389,-0.03122232202336879,-0.03918706552449429,-0.448858429287013
1981-01-22,-0.11871087949901563,0.004553796618344669,-0.03708184823338143,-0.03189692091314691,-0.03852111627103959,-0.440080498907591
1981-01-26,-0.11891417227162071,0.004676453006033442,-0.037123612397952366,-0.030914736462352453,-0.0384485540078997,-0.4456813867344192
1981-01-29,-0.11894307875713057,0.004232010072210309,-0.03717720187972968,-0.030069697759617025,-0.039049219863277425,-0.4633124900479525
1981-02-02,-0.118806570191291,0.0035635173710073034,-0.037942222432609106,-0.030778581561429624,-0.039751268257266485,-0.4808073962519834
1981-02-05,-0.11862639401898575,0.003223412864195327,-0.03837688330655129,-0.031207154144962137,-0.039630231394822156,-0.4821755190654934
1981-02-09,-0.11838155395272566,0.003067669799298499,-0.03776512603886401,-0.031112888117652376,-0.039229811094985426,-0.4768462442080527
1981-02-12,-0.11892333252676891,0.003801773091826342,-0.037635261677427895,-0.03111429411071704,-0.03917023561979744,-0.4733466906157941
1981-02-16,-0.11892303612023888,0.0038686725128046547,-0.037973940925271524,-0.03219245399237447,-0.03914230190286757,-0.4727695165679902
1981-02-19,-0.11913301347391637,0.004198914872255032,-0.03872874070559425,-0.03307512525637469,-0.039206777658721485,-0.4712134795359977
1981-02-23,-0.11978846958737568,0.005064854130369486,-0.0405558224422316,-0.03294821685845731,-0.0387576138082426,-0.46752516973687896
1981-02-26,-0.1194908155965624,0.004842233622321087,-0.04099697280611868,-0.0328260445750806,-0.03838872486361554,-0.46353708996740073
1981-03-02,-0.11915257807718384,0.004716695498753943,-0.040737823700017245,-0.03238728778848299,-0.03841107661087118,-0.4575507563977733
1981-03-05,-0.11911774966692688,0.004692791248528142,-0.04047684774844615,-0.03385474716064779,-0.039289716495913195,-0.4613474883964265
1981-03-09,-0.11897000871280881,0.004691114251815006,-0.03969769630234725,-0.035333891372086125,-0.04029850658344763,-0.4622668827934517
1981-03-12,-0.11893893923883954,0.004717716186879096,-0.03907267561936865,-0.03465702874095646,-0.04029673793762878,-0.4540753907371446
1981-03-16,-0.11899423179847453,0.004854374372541755,-0.03854084889882043,-0.03422826725126476,-0.04006052341312302,-0.44253045566943644
1981-03-19,-0.11830524271354764,0.004074179480722862,-0.03503371253118323,-0.034763679784665574,-0.04182479420553714,-0.43455556922890953
1981-03-23,-0.11743010483151363,0.0025719473290603356,-0.029172102824704615,-0.03476954857082105,-0.04507260529081029,-0.4263424965442707
1981-03-26,-0.11749305609727764,0.0028096494997206377,-0.030212536454687928,-0.0318559958048372,-0.04301884950053256,-0.4277831622877603
1981-03-30,-0.11769574917405529,0.0036113797195483546,-0.03462631207226197,-0.028639251989594945,-0.038820225505592804,-0.4354507218625061
1981-04-02,-0.11803996216932655,0.004186275307562169,-0.036141921614808406,-0.028491758613744124,-0.03838081627135939,-0.4367477475559207
1981-04-06,-0.1184626663955694,0.005008903282970443,-0.03787177168167908,-0.03056954124703675,-0.038430554658128474,-0.4344576035236714
1981-04-09,-0.11849276654200104,0.005121388370226132,-0.038747065883847596,-0.03134543667872986,-0.038240341586324965,-0.4350953383277483
1981-04-13,-0.11849965405820209,0.004822447754374318,-0.038519689099635164,-0.029567719278560795,-0.0379023200283559,-0.44328713406071407
1981-04-16,-0.11815429171212598,0.004185803727526477,-0.0384752865007976,-0.028679513040978218,-0.03744593875955691,-0.44616611500050407
1981-04-20,-0.11813993839250672,0.004049409932969222,-0.03893481106987134,-0.03028764254890813,-0.03675937396519881,-0.4374051196901406
1981-04-23,-0.11857404486642013,0.004351586362407615,-0.039073993843540954,-0.030985683205954316,-0.03667317186262749,-0.43641996418169127
1981-04-27,-0.11850488025085092,0.004043525189544032,-0.03809869995150902,-0.029645492376892804,-0.03657847301045848,-0.4404141842387785
1981-04-30,-0.11810088989716853,0.0037084324550680555,-0.03668847775841193,-0.025402302891329453,-0.03616694478486853,-0.4408917829121009
1981-05-04,-0.11770427111805369,0.0031738833522489537,-0.03565251785773347,-0.020690672163400616,-0.036154320298987776,-0.44607821194743413
1981-05-07,-0.1177374517451264,0.003031928921623039,-0.03588448509796215,-0.022648881510933756,-0.03673387449630585,-0.44720387959417635
1981-05-11,-0.11782211101337713,0.002993493989274478,-0.036775154242605704,-0.027768436933637463,-0.037245257006428195,-0.4476070845803943
1981-05-14,-0.11717028696653164,0.0031676538015030543,-0.03708525083675402,-0.0298544813263283,-0.035995815451767395,-0.4409760401480378
1981-05-18,-0.11670474558234228,0.0037014673315640717,-0.038162470219011826,-0.029046223878975177,-0.034644787414229765,-0.4305454251917238
1981-05-21,-0.11740399590034586,0.004141388336499066,-0.03828864503415268,-0.023756389721497646,-0.035137338005182435,-0.42841997060708464
1981-05-25,-0.11811264715454504,0.0044284207449372575,-0.03611504813787026,-0.011654324224690876,-0.03531696833468721,-0.4227784815070886
1981-05-28,-0.11845310710002924,0.0041346528618861015,-0.03589154596701717,-0.011821736351725084,-0.03585251454368076,-0.4244249239594248
