,0,1,2,3,4,5,6,7,8,9,10,11
1981-01-05,-0.08848611406566827,0.9206336193664887,-0.8964691137723724,-0.07168480703067476,-0.09983164140063194,0.06642242126776055,0.1984884516144954,1.2516132501219241,-0.7856263879106705,-0.5203651652999571,-0.7590573476621595,-0.3430263698723575
1981-01-08,-0.08966218179625302,0.8970054562241172,-0.8505567456966237,-0.1581187673190061,0.10063992887879757,-0.06834978980396832,0.09987349376139866,1.2243590301406095,-0.6372163601704816,-0.5744963507821839,-0.6021998301216265,-0.05752620198000133
1981-01-12,-0.08727545582401713,0.7850984698823188,-0.7768705355411152,-0.25856348025414444,0.28615238012684957,-0.1274890897036148,-0.08123347289318437,1.2030248354578466,-0.5742615620412486,-0.6115715109059696,-0.35681175880204485,0.16958740921701404
1981-01-15,-0.08303272157588514,0.6926168451477919,-0.7609823803507875,-0.3132601237689183,0.36936472808086673,-0.0834652425179272,-0.24093056911966798,1.1149567789056916,-0.6894745876594374,-0.5351964244751822,-0.2090515469840976,0.2215464081749768
1981-01-19,-0.08098633144699273,0.6788191011669327,-0.7823323146215331,-0.42067865175383595,0.4157401195845839,-0.036924779183525186,-0.7413689791493462,0.9765804073708718,-0.5872527461904823,-0.4727652313554145,-0.18562875191611364,0.22883123229086358
1981-01-22,-0.08319215753524814,0.7762272329205093,-0.82478349577539,-0.40364934281080883,0.4084843710259401,-0.05070847852133029,-1.0643690265649046,0.9992375315832281,-0.31275536921537833,-0.4636620647832896,0.025713608134699504,0.17600077532652428
1981-01-26,-0.08569701731613404,0.948471506592292,-0.9102666033946746,-0.3482466073472275,0.35872725747615564,-0.0027843309601058293,-1.0208197143336906,0.9609653313824497,-0.27576406094467504,-0.4093983621399098,0.3803127192615182,0.009946482944152435
1981-01-29,-0.09038920570739492,1.0456988150646762,-0.943315315514686,-0.335638889241123,0.27304663548237623,0.023056626910338086,-0.8110051428458251,0.9545163106929401,-0.5426842853912228,-0.21137951373804278,0.49943892555536384,0.04979843199691577
1981-02-02,-0.08982696542625666,1.0280147108652755,-0.9540241995332558,-0.3551418828655035,0.11195985417265109,0.039351599363426366,-0.5526763856230995,0.9994825491233016,-0.8444313036218627,-0.10804209696570219,0.45714579180877696,0.22214579331179143
1981-02-05,-0.0912682399543145,0.9954254101122941,-0.9738161047243196,-0.3527444665531455,-0.07791270976438512,0.09399159559637742,-0.25551564081042805,0.8751341619015532,-0.9966886099594456,-0.1545805964973396,0.5300764026595349,0.18026968946642766
